Target	Field	HJD	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Vmag	V-I	HV	e_HV	SigFe	e_SigFe	SigMg	e_SigMg	Mmb	<HV>	e_<HV>	<SigMg>	e_<SigMg>
---	---	d	h	min	s	---	deg	arcmin	arcsec	mag	mag	km/s	km/s	0.1nm	0.1nm	0.1nm	0.1nm	---	km/s	km/s	0.1nm	0.1nm
--------	----	--------	--	--	-----	-	--	--	----	-----	-----	------	----	-----	----	-----	----	-----	-----	---	-----	----
Car-0001	18B 	3087.533	06	42	17.94	-	50	53	58.4	19.90	 1.14	 218.8	 2.0	 0.42	0.05	 0.48	0.10	1.000	219.0	2.0	 0.49	0.10
Car-0001	1R  	4554.518	06	42	17.94	-	50	53	58.4	19.90	 1.14	 223.0	10.3	 0.21	0.28	 0.53	0.30	     	     	   	     	
Car-0002	18B 	3087.533	06	42	18.60	-	50	54	27.6	18.87	 1.14	 235.4	 0.6	 0.38	0.02	 0.45	0.05	1.000	235.5	0.6	 0.44	0.04
Car-0002	1R  	3088.572	06	42	18.60	-	50	54	27.6	18.87	 1.14	 237.3	 5.8	 0.43	0.02	 0.46	0.09	     	     	   	     	
Car-0002	25R 	3411.554	06	42	18.60	-	50	54	27.6	18.87	 1.14	 236.0	 6.2	 0.37	0.07	 0.24	0.15	     	     	   	     	
Car-0002	1R  	4554.518	06	42	18.60	-	50	54	27.6	18.87	 1.14	 241.3	 4.0	 0.43	0.09	 0.46	0.16	     	     	   	     	
Car-0003	18B 	3087.533	06	42	25.74	-	50	52	12.6	18.84	 1.10	  39.6	 0.9	 0.39	0.04	 1.12	0.03	0.000	     	   	     	
Car-0004	18B 	3087.533	06	42	27.17	-	50	53	07.4	19.53	 0.99	  57.1	 1.9	 0.43	0.05	 1.02	0.06	0.000	     	   	     	
Car-0005	18B 	3087.533	06	42	26.13	-	50	53	29.1	17.99	 1.35	   4.6	 2.1	 0.40	0.02	 0.95	0.03	0.000	  6.0	1.8	 0.95	0.03
Car-0005	1R  	4122.587	06	42	26.13	-	50	53	29.1	17.99	 1.35	   8.8	 3.1	     	    	     	    	     	     	   	     	
Car-0006	18B 	3087.533	06	42	27.95	-	50	53	37.4	20.41	 0.92	 218.0	 3.4	     	    	 0.87	0.22	0.964	     	   	     	
Car-0007	18B 	3087.533	06	42	25.17	-	50	54	01.8	20.42	 1.02	 216.2	 5.0	 0.30	0.23	 0.57	0.25	0.997	     	   	     	
Car-0008	18B 	3087.533	06	42	21.59	-	51	00	21.4	20.47	 0.84	 225.1	 5.7	 0.42	0.08	 0.31	0.20	1.000	225.4	3.1	 0.24	0.10
Car-0008	13B 	3410.547	06	42	21.59	-	51	00	21.4	20.47	 0.84	 225.6	 3.8	 0.38	0.05	 0.21	0.12	     	     	   	     	
Car-0009	18B 	3087.533	06	42	25.55	-	50	59	35.8	19.43	 1.05	 232.1	 1.9	 0.42	0.04	 0.41	0.09	1.000	232.1	1.9	 0.41	0.09
Car-0009	1R  	4123.555	06	42	25.55	-	50	59	35.8	19.43	 1.05	 232.9	 9.2	     	    	     	    	     	     	   	     	
Car-0010	18B 	3087.533	06	42	24.18	-	50	56	12.6	18.48	 1.20	 223.2	 0.9	 0.40	0.02	 0.39	0.04	1.000	223.1	0.8	 0.39	0.04
Car-0010	25R 	3411.554	06	42	24.18	-	50	56	12.6	18.48	 1.20	 222.5	 1.6	 0.34	0.04	 0.38	0.10	     	     	   	     	
Car-0011	18B 	3087.533	06	42	27.59	-	50	55	54.0	20.50	 0.80	 214.5	 3.4	 0.37	0.07	 0.35	0.19	1.000	217.0	2.3	 0.44	0.09
Car-0011	13B 	3410.547	06	42	27.59	-	50	55	54.0	20.50	 0.80	 219.1	 3.2	 0.35	0.06	 0.47	0.11	     	     	   	     	
Car-0012	18B 	3087.533	06	42	11.82	-	50	57	13.1	19.94	 1.00	 229.5	 4.0	 0.33	0.05	 0.39	0.12	1.000	     	   	     	
Car-0013	18B 	3087.533	06	42	16.01	-	50	56	54.8	19.65	 0.96	 219.1	 1.8	 0.40	0.03	 0.35	0.09	1.000	219.3	1.7	 0.35	0.09
Car-0013	1R  	4122.587	06	42	16.01	-	50	56	54.8	19.65	 0.96	 226.7	11.8	     	    	     	    	     	     	   	     	
Car-0014	18B 	3087.533	06	42	14.01	-	50	56	58.3	20.62	 0.95	 232.6	 2.5	 0.47	0.07	 0.42	0.16	1.000	     	   	     	
Car-0015	18B 	3087.533	06	42	14.77	-	50	56	21.5	20.13	 1.08	 220.3	 2.2	 0.27	0.07	 0.52	0.12	0.999	220.5	2.2	 0.52	0.12
Car-0015	1R  	4557.518	06	42	14.77	-	50	56	21.5	20.13	 1.08	 224.8	11.0	     	    	     	    	     	     	   	     	
Car-0016	18B 	3087.533	06	42	30.33	-	50	51	01.5	20.09	 0.91	 232.3	 4.1	 0.41	0.08	 0.07	0.23	1.000	233.2	2.4	 0.21	0.13
Car-0016	25B 	3411.554	06	42	30.33	-	50	51	01.5	20.09	 0.91	 233.7	 3.0	 0.44	0.06	 0.27	0.15	     	     	   	     	
Car-0017	18B 	3087.533	06	42	33.62	-	50	51	00.6	20.53	 0.83	 222.4	 4.8	 0.36	0.08	 0.48	0.13	0.999	     	   	     	
Car-0018	18B 	3087.533	06	42	30.87	-	50	51	44.9	19.50	 1.05	 223.6	 1.8	 0.38	0.03	 0.42	0.07	1.000	223.7	1.7	 0.43	0.07
Car-0018	25R 	3411.554	06	42	30.87	-	50	51	44.9	19.50	 1.05	 226.3	10.4	 0.38	0.14	 0.47	0.20	     	     	   	     	
Car-0019	18B 	3087.533	06	42	35.93	-	50	52	26.8	19.82	 1.01	 229.1	 3.1	 0.34	0.05	 0.51	0.10	0.999	     	   	     	
Car-0020	18B 	3087.533	06	42	33.04	-	50	53	30.6	18.70	 1.28	 212.4	 1.6	 0.35	0.02	 0.26	0.05	1.000	212.1	1.6	 0.26	0.05
Car-0020	1R  	4123.555	06	42	33.04	-	50	53	30.6	18.70	 1.28	 208.2	 6.6	     	    	     	    	     	     	   	     	
Car-0021	18B 	3087.533	06	42	38.01	-	50	50	37.9	20.48	 0.89	 264.0	 2.1	 0.36	0.06	 0.63	0.12	0.000	     	   	     	
Car-0022	18B 	3087.533	06	42	38.75	-	50	50	56.4	19.57	 0.96	  97.7	 1.9	 0.40	0.04	 0.74	0.08	0.000	     	   	     	
Car-0023	18B 	3087.533	06	42	39.62	-	50	53	06.3	19.34	 0.98	 233.5	 2.6	 0.40	0.03	 0.41	0.06	1.000	     	   	     	
Car-0024	18B 	3087.533	06	42	40.94	-	50	54	15.1	20.92	 1.08	 214.8	 4.2	 0.45	0.09	 0.49	0.18	0.998	     	   	     	
Car-0025	18B 	3087.533	06	42	47.49	-	50	55	04.1	20.31	 1.10	 217.5	 5.1	 0.28	0.06	 0.45	0.12	1.000	214.8	1.7	 0.34	0.08
Car-0025	25B 	3411.554	06	42	47.49	-	50	55	04.1	20.31	 1.10	 214.4	 1.8	 0.39	0.04	 0.26	0.11	     	     	   	     	
Car-0026	18B 	3087.533	06	42	50.98	-	50	56	06.6	20.42	 0.86	 216.2	 2.3	 0.53	0.07	 0.60	0.14	0.791	216.5	1.7	 0.68	0.07
Car-0026	13B 	3410.547	06	42	50.98	-	50	56	06.6	20.42	 0.86	 216.8	 3.0	 0.39	0.07	 0.81	0.09	     	     	   	     	
Car-0026	25B 	3411.554	06	42	50.98	-	50	56	06.6	20.42	 0.86	 217.4	 4.9	 0.33	0.07	 0.53	0.12	     	     	   	     	
Car-0027	18B 	3087.533	06	42	49.12	-	50	56	08.7	20.62	 0.83	 224.5	 2.6	 0.35	0.08	 0.25	0.22	1.000	     	   	     	
Car-0028	18B 	3087.533	06	42	48.12	-	50	58	43.9	18.81	 1.24	 220.7	 1.0	 0.38	0.02	 0.46	0.05	1.000	220.5	0.9	 0.43	0.04
Car-0028	13R 	3410.547	06	42	48.12	-	50	58	43.9	18.81	 1.24	 219.6	 2.3	 0.35	0.03	 0.34	0.09	     	     	   	     	
Car-0029	18B 	3087.533	06	42	49.15	-	50	58	15.1	19.80	 1.06	 155.4	 3.7	 0.42	0.08	 0.80	0.15	0.000	158.6	3.4	 0.78	0.09
Car-0029	13R 	3410.547	06	42	49.15	-	50	58	15.1	19.80	 1.06	 175.8	 8.5	 0.29	0.06	 0.77	0.10	     	     	   	     	
Car-0030	18B 	3087.533	06	42	55.82	-	50	57	04.9	19.49	 1.21	  36.8	 1.9	 0.33	0.05	 0.81	0.08	0.000	 36.7	1.7	 0.83	0.06
Car-0030	13R 	3410.547	06	42	55.82	-	50	57	04.9	19.49	 1.21	  36.7	 5.2	 0.37	0.06	 0.86	0.11	     	     	   	     	
Car-0031	18B 	3087.533	06	42	54.97	-	50	56	10.3	18.64	 1.31	 218.3	 1.0	 0.39	0.02	 0.46	0.05	1.000	218.6	0.8	 0.43	0.04
Car-0031	13R 	3410.547	06	42	54.97	-	50	56	10.3	18.64	 1.31	 218.7	 1.5	 0.37	0.02	 0.39	0.08	     	     	   	     	
Car-0031	25R 	3411.554	06	42	54.97	-	50	56	10.3	18.64	 1.31	 221.3	 3.9	 0.33	0.04	 0.40	0.10	     	     	   	     	
Car-0032	18B 	3087.533	06	42	32.63	-	50	57	06.6	19.73	 0.92	 222.3	 2.5	 0.40	0.04	 0.39	0.09	1.000	     	   	     	
Car-0033	18B 	3087.533	06	42	35.09	-	50	55	31.7	19.71	 1.03	 222.5	 1.6	 0.39	0.04	 0.31	0.10	1.000	222.7	1.6	 0.33	0.10
Car-0033	1R  	4554.518	06	42	35.09	-	50	55	31.7	19.71	 1.03	 229.3	 9.5	 0.28	0.26	 0.49	0.32	     	     	   	     	
Car-0034	18B 	3087.533	06	42	49.67	-	50	49	44.3	19.23	 1.14	 153.4	 2.2	 0.34	0.04	 0.97	0.07	0.000	     	   	     	
Car-0035	18B 	3087.533	06	42	47.68	-	50	53	03.0	20.98	 1.74	 221.4	 4.8	 0.35	0.07	 0.43	0.13	1.000	     	   	     	
Car-0036	18B 	3087.533	06	42	51.37	-	50	54	07.0	19.16	 1.32	  29.5	 2.2	 0.38	0.05	 0.88	0.08	0.000	 30.0	2.0	 0.81	0.06
Car-0036	25R 	3411.554	06	42	51.37	-	50	54	07.0	19.16	 1.32	  31.9	 4.5	 0.33	0.07	 0.64	0.12	     	     	   	     	
Car-0037	18B 	3087.533	06	42	50.86	-	50	54	26.7	19.99	 1.14	 224.6	 4.4	 0.42	0.07	 0.56	0.14	0.997	     	   	     	
Car-0038	18B 	3087.533	06	43	02.06	-	50	48	15.2	19.32	 0.94	  64.4	 1.2	 0.46	0.04	 0.84	0.06	0.000	     	   	     	
Car-0039	18B 	3087.533	06	43	02.58	-	50	50	11.4	19.98	 0.86	 209.1	 5.5	 0.29	0.07	 0.54	0.11	0.965	     	   	     	
Car-0040	18B 	3087.533	06	43	03.79	-	50	51	38.5	20.03	 1.20	 229.3	 3.2	 0.41	0.05	 0.37	0.12	1.000	     	   	     	
Car-0041	18B 	3087.533	06	43	04.55	-	50	52	31.4	19.20	 1.26	 134.0	 2.2	 0.30	0.05	 1.08	0.05	0.000	134.7	2.0	 1.04	0.05
Car-0041	25R 	3411.554	06	43	04.55	-	50	52	31.4	19.20	 1.26	 137.8	 4.8	 0.35	0.11	 0.70	0.16	     	     	   	     	
Car-0042	18B 	3087.533	06	42	55.70	-	51	02	52.6	18.37	 1.18	 226.9	 1.1	 0.41	0.03	 0.37	0.06	1.000	     	   	     	
Car-0043	18B 	3087.533	06	43	00.74	-	51	00	12.6	19.35	 1.00	  72.8	 0.8	 0.38	0.04	 0.84	0.06	0.000	 73.3	0.7	 0.81	0.05
Car-0043	13R 	3410.547	06	43	00.74	-	51	00	12.6	19.35	 1.00	  75.3	 1.6	 0.25	0.05	 0.80	0.10	     	     	   	     	
Car-0043	25R 	3411.554	06	43	00.74	-	51	00	12.6	19.35	 1.00	  73.3	 5.8	 0.49	0.10	 0.68	0.16	     	     	   	     	
Car-0044	18B 	3087.533	06	42	58.79	-	51	00	06.3	19.61	 1.18	 220.3	 1.3	 0.36	0.04	 0.45	0.08	1.000	220.2	1.3	 0.42	0.07
Car-0044	13R 	3410.547	06	42	58.79	-	51	00	06.3	19.61	 1.18	 218.2	 5.6	 0.34	0.06	 0.33	0.13	     	     	   	     	
Car-0045	18B 	3087.533	06	43	03.20	-	50	58	17.0	18.36	 1.22	 222.7	 1.1	 0.33	0.03	 0.39	0.06	1.000	223.9	0.8	 0.37	0.04
Car-0045	13R 	3410.547	06	43	03.20	-	50	58	17.0	18.36	 1.22	 225.2	 1.8	 0.35	0.02	 0.35	0.08	     	     	   	     	
Car-0045	25R 	3411.554	06	43	03.20	-	50	58	17.0	18.36	 1.22	 225.4	 1.4	 0.34	0.03	 0.36	0.09	     	     	   	     	
Car-0046	18B 	3087.533	06	43	03.72	-	50	57	18.5	19.51	 1.12	  62.3	 1.4	 0.42	0.05	 1.02	0.05	0.000	     	   	     	
Car-0047	18B 	3087.533	06	42	48.56	-	51	00	42.2	20.76	 0.81	 226.3	 4.9	 0.27	0.10	 0.38	0.19	0.999	     	   	     	
Car-0048	18B 	3087.533	06	42	52.28	-	50	59	34.4	20.20	 0.99	 226.9	 1.8	 0.43	0.06	 0.54	0.13	1.000	226.5	1.3	 0.43	0.09
Car-0048	25B 	3411.554	06	42	52.28	-	50	59	34.4	20.20	 0.99	 226.0	 2.0	 0.36	0.06	 0.28	0.14	     	     	   	     	
Car-0049	18B 	3087.533	06	42	51.55	-	50	58	48.7	19.90	 1.01	 229.5	 3.8	 0.40	0.06	 0.28	0.15	1.000	     	   	     	
Car-0050	18B 	3087.533	06	43	00.45	-	50	58	36.8	19.06	 1.20	 130.2	 2.2	 0.32	0.05	 1.00	0.06	0.000	130.2	2.1	 0.93	0.05
Car-0050	13R 	3410.547	06	43	00.45	-	50	58	36.8	19.06	 1.20	 131.1	 9.6	 0.19	0.06	 0.71	0.10	     	     	   	     	
Car-0051	18B 	3087.533	06	43	13.49	-	50	49	13.3	18.70	 1.19	 228.4	 2.1	 0.43	0.04	 0.49	0.09	0.998	     	   	     	
Car-0052	18B 	3087.533	06	43	10.59	-	50	49	46.9	20.58	 1.14	 228.4	 5.6	 0.46	0.11	 0.13	0.30	1.000	229.2	3.4	 0.28	0.12
Car-0052	25B 	3411.554	06	43	10.59	-	50	49	46.9	20.58	 1.14	 229.7	 4.3	 0.44	0.05	 0.31	0.13	     	     	   	     	
Car-0053	18B 	3087.533	06	43	08.58	-	50	50	26.2	18.31	 1.50	  37.9	 1.9	 0.39	0.03	 0.90	0.04	0.000	     	   	     	
Car-0054	18B 	3087.533	06	43	15.81	-	50	53	33.1	20.13	 1.10	  17.7	 2.6	 0.17	0.09	 0.80	0.10	0.000	 18.9	2.3	 0.80	0.08
Car-0054	25R 	3411.554	06	43	15.81	-	50	53	33.1	20.13	 1.10	  23.6	 5.0	 0.26	0.12	 0.80	0.14	     	     	   	     	
Car-0055	18B 	3087.533	06	43	11.73	-	50	55	04.3	18.51	 1.32	 223.3	 0.8	 0.41	0.02	 0.46	0.05	1.000	223.6	0.8	 0.44	0.04
Car-0055	25R 	3411.554	06	43	11.73	-	50	55	04.3	18.51	 1.32	 225.3	 1.9	 0.37	0.03	 0.38	0.09	     	     	   	     	
Car-0056	18B 	3087.533	06	43	26.52	-	50	49	48.2	18.86	 1.33	 207.0	 2.2	 0.26	0.05	 0.28	0.10	0.995	205.6	1.4	 0.36	0.07
Car-0056	25R 	3411.554	06	43	26.52	-	50	49	48.2	18.86	 1.33	 204.4	 1.9	 0.37	0.04	 0.44	0.10	     	     	   	     	
Car-0057	18B 	3087.533	06	43	22.58	-	50	50	14.1	18.52	 1.59	  40.5	 2.4	 0.36	0.03	 0.73	0.06	0.000	     	   	     	
Car-0058	18B 	3087.533	06	43	21.87	-	50	50	39.5	19.99	 0.97	 122.0	 3.0	 0.44	0.08	 0.89	0.12	0.000	122.2	2.9	 0.79	0.10
Car-0058	25R 	3411.554	06	43	21.87	-	50	50	39.5	19.99	 0.97	 123.6	10.2	 0.41	0.10	 0.59	0.17	     	     	   	     	
Car-0059	18B 	3087.533	06	43	19.31	-	50	51	31.2	19.68	 1.16	  78.9	 3.9	 0.22	0.09	 0.78	0.11	0.000	 76.8	3.0	 0.78	0.08
Car-0059	25R 	3411.554	06	43	19.31	-	50	51	31.2	19.68	 1.16	  73.8	 4.5	 0.33	0.08	 0.79	0.12	     	     	   	     	
Car-0060	18B 	3087.533	06	43	20.90	-	50	51	49.6	19.84	 1.00	 220.1	 1.5	 0.35	0.05	 0.29	0.11	1.000	     	   	     	
Car-0061	18B 	3087.533	06	43	34.87	-	50	54	42.4	19.41	 1.18	 157.8	 6.0	 0.26	0.10	 0.74	0.14	0.000	     	   	     	
Car-0062	18B 	3087.533	06	43	37.16	-	50	55	25.4	19.37	 1.07	 134.8	 1.4	 0.39	0.05	 0.64	0.10	0.000	134.8	1.3	 0.74	0.07
Car-0062	25R 	3411.554	06	43	37.16	-	50	55	25.4	19.37	 1.07	 134.8	 3.8	 0.27	0.07	 0.85	0.11	     	     	   	     	
Car-0063	18B 	3087.533	06	43	14.26	-	50	57	02.5	18.52	 1.36	  71.8	 1.4	 0.44	0.03	 0.86	0.06	0.000	     	   	     	
Car-0064	18B 	3087.533	06	43	16.41	-	50	55	35.9	19.50	 1.08	 219.4	 3.1	     	    	     	    	0.999	222.2	2.2	 0.43	0.14
Car-0064	25R 	3411.554	06	43	16.41	-	50	55	35.9	19.50	 1.08	 225.1	 3.1	 0.35	0.07	 0.43	0.14	     	     	   	     	
Car-0065	18B 	3087.533	06	43	15.96	-	50	55	04.1	18.28	 1.33	 103.4	 3.0	 0.38	0.04	 0.88	0.06	0.000	104.1	2.3	 0.85	0.05
Car-0065	25R 	3411.554	06	43	15.96	-	50	55	04.1	18.28	 1.33	 105.0	 3.4	 0.31	0.03	 0.77	0.09	     	     	   	     	
