#Table: J/AJ/137/3100/table3.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
For-0001|15B |3287.826|02 39 53.25 -34 34 35.8|19.27| 1.35|  51.4| 0.4| 0.51|0.02| 0.65|0.05|0.996|     |   |     |
For-0002|15B |3287.826|02 39 56.10 -34 35 43.1|19.23| 1.27|  56.8| 0.5| 0.51|0.02| 0.59|0.05|0.997|     |   |     |
For-0003|15B |3287.826|02 39 55.28 -34 37 27.2|19.06| 1.24|  53.4| 0.4| 0.50|0.03| 0.59|0.07|0.995|     |   |     |
For-0004|15B |3287.826|02 39 55.69 -34 38 21.8|19.22| 1.28|  64.3| 0.6| 0.56|0.03| 0.82|0.05|0.985|     |   |     |
For-0005|15B |3287.826|02 39 58.47 -34 38 51.5|18.97| 1.17|  54.9| 0.5| 0.49|0.02| 0.55|0.05|0.995|     |   |     |
For-0006|15B |3287.826|02 39 55.36 -34 38 56.7|19.33| 1.13|  49.9| 0.8| 0.49|0.05| 0.77|0.08|0.992|     |   |     |
For-0007|15B |3287.826|02 39 59.50 -34 33 25.7|19.24| 1.25|  70.4| 0.5| 0.57|0.03| 0.64|0.06|0.994|     |   |     |
For-0008|15B |3287.826|02 40 01.52 -34 35 09.8|19.30| 1.32|  63.2| 0.5| 0.62|0.03| 0.97|0.05|0.926|     |   |     |
For-0009|15B |3287.826|02 40 00.13 -34 35 16.3|19.38| 1.19|  51.6| 0.5| 0.54|0.03| 0.70|0.07|0.996|     |   |     |
For-0010|15B |3287.826|02 39 58.41 -34 36 00.1|19.03| 1.28|  41.1| 0.4| 0.53|0.02| 0.78|0.04|0.985|     |   |     |
For-0011|15B |3287.826|02 40 00.18 -34 36 55.3|19.18| 1.17|  71.0| 1.6| 0.49|0.05| 0.50|0.15|0.986|     |   |     |
For-0012|15B |3287.826|02 40 07.09 -34 37 03.0|19.24| 1.08|  32.9| 1.2| 0.35|0.05| 0.64|0.10|0.966|     |   |     |
For-0013|15B |3287.826|02 40 07.35 -34 37 56.7|19.06| 1.26|  54.5| 0.6| 0.58|0.03| 0.65|0.09|0.995|     |   |     |
For-0014|15B |3287.826|02 40 05.29 -34 38 12.8|19.14| 1.31|  43.6| 1.0|     |    |     |    |0.983|     |   |     |
For-0015|15B |3287.826|02 40 11.40 -34 42 50.8|19.22| 1.13|  79.0| 0.8| 0.43|0.04| 0.43|0.09|0.949| 79.2|0.8| 0.42|0.08
For-0015|592B|3666.797|02 40 11.40 -34 42 50.8|19.22| 1.13|  83.6| 3.2| 0.38|0.08| 0.38|0.19|     |     |   |     |
For-0016|15B |3287.826|02 40 14.65 -34 39 25.3|19.31| 1.21|  60.1| 0.8| 0.47|0.04| 0.42|0.09|0.990|     |   |     |
For-0017|15B |3287.826|02 40 12.08 -34 38 47.8|19.25| 1.34|  59.4| 0.5| 0.45|0.03| 0.57|0.06|0.995|     |   |     |
For-0018|15B |3287.826|02 40 23.40 -34 38 46.0|19.18| 1.23|  48.3| 0.7| 0.43|0.03| 0.63|0.06|0.995|     |   |     |
For-0019|15B |3287.826|02 40 25.26 -34 38 14.1|19.20| 1.04| 146.1| 5.7|     |    |     |    |0.000|     |   |     |
For-0020|15B |3287.826|02 40 04.61 -34 40 07.9|19.32| 1.36|  65.3| 0.6| 0.50|0.04| 0.57|0.08|0.994|     |   |     |
For-0021|15B |3287.826|02 39 56.33 -34 39 49.7|19.11| 1.30|  57.4| 0.7| 0.50|0.03| 0.58|0.07|0.995|     |   |     |
For-0022|15B |3287.826|02 40 01.03 -34 39 16.9|18.92| 1.13|  70.2| 0.7| 0.44|0.03| 0.54|0.06|0.990|     |   |     |
For-0023|15B |3287.826|02 40 09.10 -34 39 13.9|19.24| 1.16|  58.0| 0.6| 0.50|0.03| 0.61|0.07|0.995|     |   |     |
For-0024|15B |3287.826|02 40 04.67 -34 38 41.0|19.22| 1.15|  65.6| 0.6| 0.54|0.04| 0.57|0.08|0.993|     |   |     |
For-0025|15B |3287.826|02 40 02.44 -34 38 26.2|19.17| 1.18|  36.5| 0.6| 0.51|0.03| 0.62|0.07|0.982|     |   |     |
For-0026|15B |3287.826|02 40 08.30 -34 30 42.8|19.29| 1.12|  58.3| 0.4| 0.52|0.02| 0.72|0.04|0.998|     |   |     |
For-0027|15B |3287.826|02 40 04.49 -34 31 27.3|19.18| 1.34|  58.2| 0.7| 0.54|0.04| 0.66|0.10|0.998|     |   |     |
For-0028|15B |3287.826|02 40 04.06 -34 33 39.8|19.43| 1.33|  55.9| 0.5| 0.52|0.03| 0.68|0.05|0.997| 55.9|0.3| 0.69|0.03
For-0028|4B  |4027.679|02 40 04.06 -34 33 39.8|19.43| 1.33|  55.9| 0.5| 0.50|0.02| 0.70|0.04|     |     |   |     |
For-0029|15B |3287.826|02 40 04.35 -34 33 57.3|19.19| 1.29|  64.3| 0.7| 0.57|0.04| 0.66|0.08|0.995| 65.8|0.6| 0.71|0.05
For-0029|4B  |4019.683|02 40 04.35 -34 33 57.3|19.19| 1.29|  68.7| 1.1| 0.55|0.03| 0.75|0.07|     |     |   |     |
For-0030|15B |3287.826|02 40 04.19 -34 34 25.6|19.33| 1.39| 111.9| 2.8| 0.27|0.04| 0.91|0.05|0.001|     |   |     |
For-0031|15B |3287.826|02 40 05.53 -34 35 05.1|19.20| 1.22|  70.5| 0.5| 0.55|0.02| 0.55|0.05|0.993|     |   |     |
For-0032|15B |3287.826|02 40 12.08 -34 31 00.2|19.17| 1.36|  48.4| 0.6| 0.48|0.04| 0.72|0.07|0.997|     |   |     |
For-0033|15B |3287.826|02 40 08.86 -34 31 47.2|19.18| 1.14|  68.8| 0.5| 0.46|0.03| 0.55|0.05|0.997|     |   |     |
For-0034|15B |3287.826|02 40 11.30 -34 33 28.7|19.35| 1.17|  83.3| 0.8| 0.42|0.04| 0.59|0.08|0.962| 83.2|0.6| 0.59|0.08
For-0034|4B  |4027.679|02 40 11.30 -34 33 28.7|19.35| 1.17|  82.8| 1.1|     |    |     |    |     |     |   |     |
For-0035|15B |3287.826|02 40 07.32 -34 33 53.9|19.23| 1.37|  51.8| 0.5| 0.52|0.02| 0.63|0.04|0.996|     |   |     |
For-0036|15B |3287.826|02 40 08.90 -34 34 09.8|19.24| 1.33|  58.3| 0.5| 0.54|0.03| 0.66|0.06|0.996|     |   |     |
For-0037|15B |3287.826|02 40 13.33 -34 34 44.3|19.36| 1.25|  47.3| 0.6| 0.54|0.03| 0.57|0.07|0.995|     |   |     |
For-0038|15B |3287.826|02 40 16.33 -34 37 00.2|19.34| 1.30|  43.6| 0.5| 0.47|0.03| 0.67|0.05|0.992|     |   |     |
For-0039|15B |3287.826|02 40 28.08 -34 43 21.1|19.88| 1.11|  59.5| 0.5| 0.48|0.04| 0.46|0.08|0.991|     |   |     |
