#Table: J/AJ/137/3100/table4.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Scl-0001|20B |3286.629|01 00 46.17 -33 39 19.6|19.32| 1.13| 114.1| 1.9| 0.36|0.02| 0.43|0.04|0.998|112.6|1.2| 0.56|0.03
Scl-0001|4B  |3288.571|01 00 46.17 -33 39 19.6|19.32| 1.13| 111.5| 1.6| 0.34|0.02| 0.69|0.04|     |     |   |     |
Scl-0002|20B |3286.629|01 00 45.44 -33 39 59.9|18.72| 1.15| 110.1| 0.9| 0.32|0.01| 0.39|0.03|1.000|110.2|0.9| 0.40|0.03
Scl-0002|4R  |3288.571|01 00 45.44 -33 39 59.9|18.72| 1.15| 111.5| 2.6| 0.27|0.03| 0.42|0.08|     |     |   |     |
Scl-0003|20B |3286.629|01 00 44.46 -33 41 54.1|19.91| 1.14| 118.4| 2.8| 0.42|0.04| 0.53|0.06|1.000|116.4|1.9| 0.50|0.05
Scl-0003|1B  |4017.555|01 00 44.46 -33 41 54.1|19.91| 1.14| 114.8| 2.5| 0.32|0.05| 0.39|0.11|     |     |   |     |
Scl-0004|20B |3286.629|01 00 46.96 -33 43 19.9|19.47| 1.15|  95.6| 2.2| 0.38|0.02| 0.34|0.05|1.000|103.8|0.7| 0.34|0.03
Scl-0004|4B  |3288.571|01 00 46.96 -33 43 19.9|19.47| 1.15| 104.5| 2.0| 0.30|0.02| 0.32|0.05|     |     |   |     |
Scl-0004|1B  |4017.555|01 00 46.96 -33 43 19.9|19.47| 1.15| 104.6| 0.8| 0.36|0.03| 0.36|0.07|     |     |   |     |
Scl-0005|20B |3286.629|01 00 42.44 -33 43 26.0|19.11| 1.18| 115.5| 2.1| 0.43|0.02| 0.33|0.04|1.000|117.7|0.9| 0.40|0.03
Scl-0005|4R  |3288.571|01 00 42.44 -33 43 26.0|19.11| 1.18| 115.5| 7.9| 0.39|0.04| 0.52|0.10|     |     |   |     |
Scl-0005|5R  |3289.593|01 00 42.44 -33 43 26.0|19.11| 1.18| 114.6| 3.3| 0.40|0.03| 0.53|0.09|     |     |   |     |
Scl-0005|1B  |4017.555|01 00 42.44 -33 43 26.0|19.11| 1.18| 118.7| 1.1| 0.38|0.04| 0.50|0.08|     |     |   |     |
Scl-0006|20B |3286.629|01 00 44.88 -33 43 57.7|19.17| 1.11|  93.0| 2.3| 0.38|0.02| 0.31|0.05|0.999| 93.4|2.2| 0.32|0.05
Scl-0006|4R  |3288.571|01 00 44.88 -33 43 57.7|19.17| 1.11| 100.7|10.1| 0.15|0.08| 0.37|0.14|     |     |   |     |
Scl-0007|20B |3286.629|01 00 42.07 -33 44 02.7|19.26| 1.18| 118.6| 2.0| 0.29|0.04| 0.63|0.05|0.991|     |   |     |
Scl-0008|20B |3286.629|01 00 51.01 -33 38 20.5|18.97| 1.13| 113.8| 4.9| 0.30|0.02| 0.63|0.03|0.984|103.6|1.4| 0.60|0.03
Scl-0008|1B  |4017.555|01 00 51.01 -33 38 20.5|18.97| 1.13| 102.7| 1.5| 0.33|0.04| 0.39|0.08|     |     |   |     |
Scl-0009|20B |3286.629|01 00 50.99 -33 40 02.4|18.50| 1.17|  95.7| 0.8| 0.39|0.01| 0.42|0.03|0.999| 95.7|0.8| 0.41|0.03
Scl-0009|4R  |3288.571|01 00 50.99 -33 40 02.4|18.50| 1.17|  97.0| 4.1| 0.33|0.03| 0.32|0.09|     |     |   |     |
Scl-0010|20B |3286.629|01 00 49.48 -33 40 37.8|18.98| 1.16| 101.6| 1.6| 0.33|0.02| 0.39|0.03|1.000|101.6|1.6| 0.41|0.03
Scl-0010|4R  |3288.571|01 00 49.48 -33 40 37.8|18.98| 1.16| 101.9| 5.1| 0.40|0.03| 0.59|0.09|     |     |   |     |
Scl-0011|20B |3286.629|01 00 51.15 -33 47 17.3|19.39| 1.04| 112.6| 4.8| 0.34|0.03| 0.51|0.05|1.000|114.9|1.1| 0.49|0.04
Scl-0011|1B  |4017.555|01 00 51.15 -33 47 17.3|19.39| 1.04| 115.0| 1.1| 0.37|0.04| 0.43|0.09|     |     |   |     |
Scl-0012|20B |3286.629|01 00 51.95 -33 46 24.0|19.12| 1.20| 111.8| 0.8| 0.36|0.02| 0.46|0.04|1.000|111.3|0.4| 0.45|0.03
Scl-0012|5R  |3289.593|01 00 51.95 -33 46 24.0|19.12| 1.20| 112.4|11.2| 0.30|0.04| 0.48|0.10|     |     |   |     |
Scl-0012|1B  |4017.555|01 00 51.95 -33 46 24.0|19.12| 1.20| 111.0| 0.5| 0.39|0.03| 0.39|0.06|     |     |   |     |
Scl-0013|20B |3286.629|01 00 58.45 -33 46 13.9|19.76| 1.04| 118.5| 3.6| 0.28|0.03| 0.46|0.04|1.000|118.8|1.3| 0.42|0.03
Scl-0013|5B  |3289.593|01 00 58.45 -33 46 13.9|19.76| 1.04| 120.1| 1.7| 0.30|0.03| 0.42|0.05|     |     |   |     |
Scl-0013|1B  |4017.555|01 00 58.45 -33 46 13.9|19.76| 1.04| 115.7| 2.6| 0.32|0.04| 0.29|0.10|     |     |   |     |
Scl-0014|20B |3286.629|01 00 59.87 -33 45 22.2|19.96| 1.08| 104.0| 2.8| 0.28|0.03| 0.32|0.05|1.000|     |   |     |
Scl-0015|20B |3286.629|01 01 02.97 -33 45 13.6|19.97| 1.03| 105.0| 2.6| 0.32|0.02| 0.40|0.04|1.000|     |   |     |
Scl-0016|20B |3286.629|01 01 05.90 -33 44 15.0|19.57| 1.09| 122.6| 1.7| 0.31|0.02| 0.30|0.04|1.000|     |   |     |
Scl-0017|20B |3286.629|01 01 09.27 -33 43 36.5|19.81| 1.16| 106.1| 1.9| 0.42|0.02| 0.38|0.04|1.000|109.5|1.1| 0.37|0.04
Scl-0017|1B  |4017.555|01 01 09.27 -33 43 36.5|19.81| 1.16| 111.3| 1.4| 0.48|0.06| 0.27|0.16|     |     |   |     |
Scl-0018|20B |3286.629|01 00 44.85 -33 45 32.1|19.72| 0.96| 110.6| 2.2| 0.26|0.03| 0.32|0.06|1.000|112.2|1.9| 0.42|0.04
Scl-0018|5B  |3289.593|01 00 44.85 -33 45 32.1|19.72| 0.96| 116.3| 3.5| 0.33|0.03| 0.54|0.06|     |     |   |     |
Scl-0019|20B |3286.629|01 00 46.10 -33 44 42.9|18.55| 1.21| 123.9| 1.1| 0.37|0.02| 0.30|0.04|1.000|124.0|1.0| 0.33|0.04
Scl-0019|5R  |3289.593|01 00 46.10 -33 44 42.9|18.55| 1.21| 124.4| 3.0| 0.47|0.03| 0.44|0.09|     |     |   |     |
Scl-0020|20B |3286.629|01 00 59.92 -33 44 54.1|19.28| 1.12| 119.5| 1.7| 0.28|0.02| 0.36|0.05|1.000|     |   |     |
Scl-0021|20B |3286.629|01 00 49.80 -33 44 18.0|18.98| 1.22| 115.6| 2.1| 0.33|0.02| 0.23|0.04|1.000|     |   |     |
