#Table: J/AJ/137/3100/table5.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Sex-0001|8B  |3086.796|10 14 25.29 -01 42 53.7|19.70| 0.62| 269.4| 2.5| 0.35|0.03| 0.45|0.07|0.000|270.2|1.7| 0.32|0.06
Sex-0001|15B |3417.761|10 14 25.29 -01 42 53.7|19.70| 0.62| 270.9| 2.2| 0.31|0.03| 0.14|0.09|     |     |   |     |
Sex-0002|8B  |3086.796|10 14 31.87 -01 39 06.6|     |     |  47.3| 2.5| 0.36|0.02| 0.99|0.03|0.000| 47.1|1.4| 0.92|0.02
Sex-0002|15B |3417.761|10 14 31.87 -01 39 06.6|     |     |  47.1| 1.8| 0.35|0.02| 0.84|0.03|     |     |   |     |
Sex-0003|8B  |3086.796|10 14 27.43 -01 37 24.8|     |     | 123.8| 3.2| 0.28|0.03| 1.05|0.04|0.000|123.3|2.0| 0.92|0.03
Sex-0003|15B |3417.761|10 14 27.43 -01 37 24.8|     |     | 122.9| 2.6| 0.34|0.02| 0.80|0.04|     |     |   |     |
Sex-0004|8B  |3086.796|10 14 18.28 -01 44 08.4|18.49| 1.33|  29.8| 2.5| 0.30|0.05| 1.00|0.06|0.000| 30.1|1.8| 0.85|0.03
Sex-0004|15B |3417.761|10 14 18.28 -01 44 08.4|18.49| 1.33|  30.4| 2.5| 0.33|0.02| 0.80|0.04|     |     |   |     |
Sex-0005|8B  |3086.796|10 14 18.50 -01 39 59.3|18.06| 1.25|  31.9| 1.9| 0.38|0.02| 0.98|0.02|0.000| 32.4|1.3| 0.94|0.01
Sex-0005|15B |3417.761|10 14 18.50 -01 39 59.3|18.06| 1.25|  32.8| 1.8| 0.37|0.01| 0.89|0.02|     |     |   |     |
Sex-0006|8B  |3086.796|10 14 20.25 -01 39 23.0|19.77| 0.73| 273.5| 4.0| 0.28|0.05| 0.48|0.12|0.000|271.6|1.8| 0.62|0.05
Sex-0006|15B |3417.761|10 14 20.25 -01 39 23.0|19.77| 0.73| 271.1| 2.1| 0.35|0.03| 0.64|0.05|     |     |   |     |
Sex-0007|8B  |3086.796|10 14 17.73 -01 38 28.7|19.42| 0.58| 147.6| 3.0| 0.24|0.04| 0.48|0.08|0.000|145.9|2.0| 0.37|0.05
Sex-0007|15B |3417.761|10 14 17.73 -01 38 28.7|19.42| 0.58| 144.5| 2.8| 0.25|0.03| 0.30|0.06|     |     |   |     |
Sex-0008|8B  |3086.796|10 14 06.42 -01 34 50.0|17.55| 1.26|  -9.0| 1.7| 0.35|0.01| 0.87|0.02|0.000|     |   |     |
Sex-0009|8B  |3086.796|10 14 08.40 -01 35 49.1|19.52| 0.90| 223.6| 4.9| 0.31|0.03| 0.35|0.07|0.998|226.1|1.7| 0.31|0.05
Sex-0009|15B |3417.761|10 14 08.40 -01 35 49.1|19.52| 0.90| 226.4| 1.8| 0.26|0.03| 0.28|0.06|     |     |   |     |
Sex-0010|8B  |3086.796|10 14 17.31 -01 35 55.0|     |     | -39.6| 2.6| 0.35|0.02| 0.77|0.04|0.000|-39.8|1.6| 0.81|0.02
Sex-0010|15B |3417.761|10 14 17.31 -01 35 55.0|     |     | -40.0| 2.1| 0.37|0.02| 0.84|0.03|     |     |   |     |
Sex-0011|8B  |3086.796|10 14 15.20 -01 36 16.9|19.77| 1.02|  72.8| 3.0| 0.31|0.04| 0.93|0.06|0.000| 64.6|0.8| 0.84|0.04
Sex-0011|15B |3417.761|10 14 15.20 -01 36 16.9|19.77| 1.02|  64.0| 0.8| 0.37|0.04| 0.73|0.07|     |     |   |     |
Sex-0012|8B  |3086.796|10 14 21.75 -01 31 45.0|18.12| 0.82| 317.0| 1.5| 0.33|0.01| 0.59|0.02|0.000|     |   |     |
Sex-0013|8B  |3086.796|10 14 16.38 -01 44 00.5|20.36| 1.20| 110.9| 3.5| 0.43|0.06| 0.56|0.13|0.000|     |   |     |
Sex-0014|8B  |3086.796|10 14 01.64 -01 45 32.9|18.77| 1.17|  16.9| 1.8| 0.41|0.03| 0.81|0.04|0.000| 16.8|1.4| 0.80|0.03
Sex-0014|15B |3417.761|10 14 01.64 -01 45 32.9|18.77| 1.17|  16.5| 2.1| 0.36|0.03| 0.79|0.04|     |     |   |     |
Sex-0015|8B  |3086.796|10 13 55.24 -01 33 20.5|19.80| 0.95| 246.2| 4.4| 0.34|0.04| 0.38|0.09|0.997|223.9|1.4| 0.40|0.06
Sex-0015|7B  |3090.704|10 13 55.24 -01 33 20.5|19.80| 0.95| 233.6| 5.1| 0.30|0.10| 0.07|0.25|     |     |   |     |
Sex-0015|15B |3417.761|10 13 55.24 -01 33 20.5|19.80| 0.95| 220.2| 1.6| 0.34|0.04| 0.44|0.07|     |     |   |     |
Sex-0016|8B  |3086.796|10 13 53.66 -01 35 24.8|18.74| 1.07| 223.8| 1.6| 0.34|0.02| 0.39|0.05|0.999|225.4|0.6| 0.37|0.03
Sex-0016|15B |3417.761|10 13 53.66 -01 35 24.8|18.74| 1.07| 225.7| 0.7| 0.37|0.02| 0.36|0.04|     |     |   |     |
Sex-0017|8B  |3086.796|10 14 08.25 -01 30 22.4|18.56| 1.06| 206.2| 1.1| 0.29|0.01| 0.32|0.03|0.964|     |   |     |
Sex-0018|8B  |3086.796|10 13 50.82 -01 45 12.3|17.52| 1.30| 240.3| 1.2| 0.37|0.01| 0.44|0.03|0.982|     |   |     |
Sex-0019|8B  |3086.796|10 13 49.26 -01 40 50.8|18.77| 1.03| 225.9| 2.5| 0.37|0.04| 0.54|0.07|0.998|223.0|0.8| 0.42|0.04
Sex-0019|15B |3417.761|10 13 49.26 -01 40 50.8|18.77| 1.03| 222.7| 0.8| 0.36|0.02| 0.35|0.05|     |     |   |     |
Sex-0020|8B  |3086.796|10 13 47.54 -01 42 38.5|18.67| 0.80|   4.3| 4.1| 0.33|0.06| 0.59|0.10|0.000|     |   |     |
Sex-0021|8B  |3086.796|10 13 37.08 -01 32 29.0|19.87| 0.78| 226.5| 5.6| 0.38|0.05| 0.32|0.13|0.998|222.6|3.8| 0.29|0.11
Sex-0021|7B  |3090.704|10 13 37.08 -01 32 29.0|19.87| 0.78| 219.2| 5.2| 0.44|0.09| 0.20|0.26|     |     |   |     |
Sex-0022|8B  |3086.796|10 13 40.26 -01 33 39.8|18.04| 1.21| 232.2| 2.1| 0.38|0.02| 0.34|0.05|0.997|233.3|0.6| 0.41|0.03
Sex-0022|7B  |3090.704|10 13 40.26 -01 33 39.8|18.04| 1.21| 234.3| 0.7| 0.41|0.01| 0.43|0.03|     |     |   |     |
Sex-0022|1R  |3411.775|10 13 40.26 -01 33 39.8|18.04| 1.21| 226.7| 1.9| 0.36|0.03| 0.41|0.09|     |     |   |     |
Sex-0023|8B  |3086.796|10 13 41.45 -01 35 39.0|19.23| 1.01| 230.4| 2.1| 0.29|0.03| 0.35|0.07|0.999|232.1|1.7| 0.31|0.05
